Year,Country,Life_evaluation,Conflit,Water_Access,population using the Internet,Coastline,Net_Migration,GDP_per_capita,HDI,GII,Freedom_Score,PM25,Suicide_Rate
2020,Afghanistan,2.523,1.0,72.1820710205908,17.0485,0.0,143634.0,510.787063366811,0.501,0.674,27.0,46.0870936659706,3.49
2020,Albania,5.117,0.0,95.0680381522002,72.2377,1.26,-16680.0,6027.91350716348,0.794,0.125,67.0,15.7070036417042,3.36
2020,Algeria,4.887,1.0,92.1378242692677,63.4727,0.04,-10798.0,3743.5419522929,0.742,0.383,34.0,25.5526558310447,1.71
2020,Argentina,5.929,0.0,,85.5144,0.18,292.0,8535.59938004389,0.851,0.285,85.0,14.9081737974407,8.12
2020,Armenia,5.283,1.0,99.4561137881716,76.5077,0.0,-13046.0,4268.68093304583,0.761,0.207,53.0,30.5796334750125,2.18
2020,Australia,7.183,0.0,99.9698157102474,94.6935,0.34,44447.0,51983.4523666382,0.95,0.072,97.0,8.25171746070811,13.03
2020,Austria,7.268,1.0,99.9999975918171,87.5294,0.0,39601.0,48716.4098900349,0.925,0.048,93.0,10.9335136815146,14.0
2020,Azerbaijan,5.171,1.0,94.1597003364215,84.6,0.0,1073.0,4229.91064904503,0.757,0.332,10.0,21.7269999756599,3.23
2020,Bahrain,6.647,0.0,99.9198990209829,99.671,24.21,-5048.0,24342.8444554718,0.885,0.189,11.0,58.4950629834781,5.48
2020,Bangladesh,5.025,1.0,98.2725719690138,36.1091,0.4,-1002522.0,2248.85078828233,0.663,0.5,39.0,42.3813762359965,2.81
2020,Belarus,5.534,0.0,99.2623480849323,85.0879,0.0,-33954.0,6542.85579976768,0.815,0.094,19.0,14.6089903841381,16.27
2020,Belgium,6.834,0.0,100.0,91.5264,0.22,43777.0,45906.2875805246,0.939,0.044,96.0,11.2160664677018,16.89
2020,Benin,5.045,0.0,68.3129505616936,22.1206,0.11,1729.0,1200.19426557789,0.504,0.638,66.0,51.0478241974862,6.89
2020,Bolivia,5.716,1.0,91.6695086739786,59.9401,0.0,-4663.0,3580.96761778303,0.697,0.431,63.0,22.879459074231,4.79
2020,Bosnia and Herzegovina,5.813,0.0,96.1287930670731,73.2118,0.04,-26840.0,6130.31187968266,0.783,0.144,53.0,26.6019532713554,9.77
2020,Botswana,3.467,0.0,91.5461365187927,69.523,0.0,-11330.0,6323.2974967659,0.718,0.497,72.0,18.9057549925814,8.91
2020,Brazil,6.33,1.0,99.0720677672897,81.3427,0.09,-78437.0,7074.19407495707,0.77,0.411,75.0,12.1793252040724,6.93
2020,Bulgaria,5.266,0.0,99.2544596990953,70.1625,0.32,30167.0,10760.211975413,0.826,0.2,80.0,17.1474236131426,10.03
2020,Burkina Faso,4.834,1.0,50.3862637931321,10.7927,0.0,-5661.0,825.237038782475,0.453,0.606,56.0,58.4706762025055,8.3
2020,Burundi,3.775,1.0,64.4028716190814,9.17302,0.0,-10189.0,255.8324539389,0.435,0.503,13.0,29.6541345084659,6.67
2020,Cambodia,4.83,0.0,78.6484857238686,53.6508,0.24,0.0,2081.73914242939,0.595,0.492,25.0,24.1436022803452,4.33
2020,Cameroon,5.142,1.0,69.29764588045,41.2264,0.08,-9888.0,1555.60370660749,0.579,0.563,18.0,39.8126251004519,7.91
2020,Canada,7.103,0.0,98.4952442433058,92.3,2.02,256592.0,43537.839298904,0.931,0.066,98.0,6.56566994375263,11.64
2020,Chad,4.355,1.0,51.195378612918,8.34311,0.0,36605.0,866.947814890409,0.408,0.696,17.0,49.1388484128027,5.23
2020,Chile,6.172,0.0,98.671391193466,87.4593,0.85,26042.0,13114.815470545,0.856,0.182,90.0,23.2750668049145,8.26
2020,China,5.339,0.0,93.9705270769772,70.0528,0.15,-91577.0,10627.4637989619,0.786,0.154,10.0,34.8105237153218,8.82
2020,Colombia,6.012,1.0,96.3025836876793,69.7953,0.28,227130.0,5339.68711357943,0.764,0.421,66.0,14.1832514905064,4.81
2020,Comoros,4.289,0.0,85.4750115485724,22.4204,15.67,-1766.0,1519.34665556206,0.592,0.512,44.0,11.9332724091044,6.21
2020,Congo,5.342,1.0,73.2936799973637,24.8206,0.05,-4472.0,1993.586671931,0.643,0.589,20.0,28.5737499496554,6.56
2020,Costa Rica,7.069,0.0,99.8105394546059,80.5302,2.52,1029.0,12394.0493969492,0.819,0.231,91.0,14.3075712471404,6.36
2020,Croatia,5.882,0.0,99.9019753269295,78.3209,10.32,-8552.0,14807.5608543265,0.867,0.086,85.0,16.1208592960264,14.67
2020,Cyprus,6.223,0.0,99.7455373868703,90.8019,7.01,9653.0,28130.341796875,0.905,0.239,94.0,13.508701890821,3.86
2020,Czechia,6.965,0.0,98.7321788477487,81.3389,0.0,4336.0,23472.8915454417,0.898,0.12,91.0,14.1110711384133,12.73
2020,Côte d’Ivoire,5.306,0.0,,36.0166,0.16,-12390.0,2179.72934832935,0.553,0.602,51.0,49.4977827339493,7.3
2020,Denmark,7.62,0.0,100.0,96.5491,16.97,10851.0,60985.4885601514,0.954,0.01,97.0,9.06983927345931,10.9
2020,Dominican Republic,5.545,0.0,96.8998955257888,81.6173,2.64,-17957.0,7135.22273255899,0.767,0.431,67.0,19.8267440369685,4.18
2020,Ecuador,5.764,0.0,91.4742997917839,70.7,0.79,-10320.0,5463.64515348598,0.74,0.373,65.0,16.6570210758922,7.59
2020,Egypt,4.283,1.0,97.5705329201433,71.9142,0.24,6016.0,3511.11381026379,0.736,0.405,21.0,54.8587056496436,0.79
2020,El Salvador,6.061,0.0,89.9923610939187,54.6014,1.46,-25213.0,3997.19279583709,0.66,0.359,66.0,20.0287144500145,7.44
2020,Estonia,6.189,0.0,99.9945255363523,89.0583,8.39,3694.0,23933.9939421065,0.901,0.083,94.0,6.14573290973003,17.54
2020,Ethiopia,4.275,1.0,49.6550451612317,16.0696,0.0,38866.0,829.790982547947,0.486,0.502,24.0,27.3053276470482,5.68
2020,Finland,7.842,0.0,99.9999988873824,92.1703,0.37,17504.0,48828.6846862799,0.947,0.03,100.0,4.89518090216668,14.14
2020,France,6.69,0.0,100.0,84.7064,0.63,145593.0,39169.8606000707,0.909,0.056,90.0,9.60038144780495,16.25
2020,Gabon,4.852,0.0,87.7393004139279,63.9179,0.33,1506.0,6605.80346077565,0.732,0.531,22.0,29.9548734558765,7.42
2020,Gambia,5.051,0.0,85.0680326919843,34.2172,0.71,-1949.0,720.335143352133,0.512,0.589,46.0,58.3640402179659,4.89
2020,Georgia,4.891,0.0,96.7382823190877,72.5316,0.44,-2738.0,4300.85701291207,0.822,0.271,61.0,17.0438421058507,5.74
2020,Germany,7.155,0.0,99.9999988416059,89.8129,0.67,203468.0,47394.8734504469,0.955,0.071,94.0,10.2876894329414,12.87
2020,Ghana,5.088,0.0,85.8052795210658,62.5176,0.23,-291.0,2195.45481659987,0.614,0.529,82.0,54.2427873097724,5.08
2020,Greece,5.723,0.0,99.9999990325072,78.1158,10.37,6353.0,17886.733165236,0.896,0.118,88.0,14.4089280374361,4.42
2020,Guatemala,6.435,0.0,92.3138179561227,47.5123,0.37,-23927.0,4477.61785000665,0.645,0.48,52.0,21.6357355920496,5.08
2020,Guinea,4.984,1.0,69.4483664321703,23.4499,0.13,-4365.0,1053.66097696415,0.488,0.643,40.0,43.7674450148382,5.03
2020,Haiti,3.615,1.0,70.4880763209359,,6.38,-33850.0,1290.32538667383,0.555,0.623,38.0,21.3502554448061,7.89
2020,Honduras,5.919,0.0,94.3301083793908,45.2483,0.73,-6199.0,2307.61494319511,0.625,0.436,45.0,20.3136833896573,2.92
2020,Hong Kong SAR of China,5.477,,100.0,92.4131,67.12,-1800.0,46109.2299946609,0.95,,55.0,,
2020,Hungary,5.992,0.0,99.7437164369776,84.7712,0.0,9147.0,16386.9308821258,0.857,0.244,70.0,14.1364995764273,18.22
