Year,Country,Life_evaluation,Conflit,Water_Access,population using the Internet,Coastline,Net_Migration,GDP_per_capita,HDI,GII,Freedom_Score,PM25,Suicide_Rate
2014,Afghanistan,3.575,1.0,58.2185747849882,7.0,0.0,233913.0,625.054941813938,0.497,0.687,26.0,77.1437275538632,3.54
2014,Albania,4.959,0.0,93.0200532320908,54.3,1.26,-21706.0,4793.59751131525,0.797,0.19,67.0,19.3679442180935,4.25
2014,Algeria,5.605,1.0,91.268060653484,29.5,0.04,-30064.0,6094.69392314956,0.732,0.399,34.0,24.111122951181,2.26
2014,Angola,4.033,0.0,57.0569115656449,21.3623,0.13,84535.0,5649.68762469139,0.577,0.553,29.0,23.9455836380328,6.36
2014,Argentina,6.574,0.0,98.9232481866542,64.7,0.18,5794.0,12233.1444119186,0.855,0.347,80.0,13.9500593062949,9.53
2014,Armenia,4.35,0.0,99.0173502975581,54.6228,0.0,-15745.0,3852.11800610384,0.772,0.309,43.0,38.639237611456,6.36
2014,Australia,7.284,0.0,99.9614825180861,84.0,0.34,200177.0,62817.2061751737,0.937,0.116,97.0,7.38760302103561,13.09
2014,Austria,7.2,0.0,100.0,80.9958,0.0,74375.0,51314.9722616322,0.919,0.081,96.0,12.9541454673827,16.59
2014,Azerbaijan,5.212,1.0,88.4995796810973,75.0,0.0,1073.0,7890.84028062087,0.766,0.346,22.0,26.4192082058383,2.13
2014,Bahrain,5.96,0.0,99.9315289348395,90.5031,24.21,40815.0,26451.7965647453,0.847,0.233,16.0,59.1499735070702,5.62
2014,Bangladesh,4.694,0.0,97.220803624287,11.9,0.4,-889222.0,1094.46199702838,0.6,0.569,53.0,68.3283645116627,3.01
2014,Belarus,5.813,0.0,98.7435395155894,59.0163,0.0,14979.0,8341.31809294883,0.825,0.138,14.0,19.3974713758219,23.61
2014,Belgium,6.937,0.0,100.0,85.0012,0.22,37472.0,47995.7786961339,0.93,0.066,97.0,12.9003587052878,19.42
2014,Benin,3.34,0.0,66.2745990254867,6.0,0.11,3667.0,1204.39918670094,0.509,0.653,80.0,42.0112596872744,7.29
2014,Bhutan,5.253,0.0,95.6623573310029,30.3,0.0,452.0,2849.49998647303,0.626,0.404,55.0,40.2981530542455,5.44
2014,Bolivia,5.89,0.0,88.9095566150389,34.6016,0.0,-10971.0,3041.43503162408,0.701,0.435,67.0,26.9415449050283,5.49
2014,Bosnia and Herzegovina,4.949,0.0,96.008918332446,49.9177,0.04,-35683.0,5206.06573475132,0.765,,61.0,32.4817989014897,10.4
2014,Botswana,4.332,0.0,87.0620077919626,36.7447,0.0,-8893.0,7122.36423421503,0.685,0.502,74.0,21.1021511668115,12.81
2014,Brazil,6.983,0.0,97.4719067025274,54.551,0.09,-145732.0,12274.9941630213,0.765,0.441,81.0,13.7916487838641,5.85
2014,Bulgaria,4.218,0.0,99.3753090063738,55.4904,0.32,-2180.0,8069.60005667684,0.819,0.224,78.0,21.9921500133613,10.57
2014,Burkina Faso,3.587,0.0,52.2827255201391,6.0,0.0,-17984.0,764.861675106225,0.409,0.592,53.0,49.9195641760489,8.86
2014,Burundi,2.906,1.0,60.0108002103421,1.04239,0.0,-6856.0,250.544492155185,0.431,0.522,34.0,31.2135166042476,7.08
2014,Cambodia,3.819,0.0,71.539204338713,14.0,0.24,-56536.0,1431.56396469993,0.557,0.516,30.0,22.1052880421246,4.44
2014,Cameroon,4.252,1.0,66.0018143956848,16.2149,0.08,96599.0,1649.4433905949,0.566,0.577,24.0,37.009069026736,8.64
